id,longitude,latitude
0,-47.84922953140144,-15.674299650218574
1,-47.65425242159492,-15.601081676403954
2,-47.81289193306229,-15.649246502153456
3,-47.82852779138951,-15.675494643739968
4,-47.64751442115043,-15.603035030070622
5,-47.80275147657847,-15.657109476776832
6,-47.65632462687382,-15.640743605057352
7,-47.85023205101224,-15.670998074842565
8,-47.501888872967676,-15.818878975914837
9,-47.87172804314843,-15.656709764199055
10,-47.82800336599704,-15.640266228343252
11,-47.76863838399085,-15.646821326228629
12,-47.83715790275384,-15.63204295861017
13,-47.796591654302844,-15.650940137086405
14,-47.75596889201893,-15.644631276609772
15,-47.783491369265754,-15.772438653595914
16,-47.837788167532935,-15.668425793168675
17,-47.793149291520436,-15.646805528198636
18,-47.78072039567283,-15.771194328835819
19,-47.79747819413569,-15.652388367516888
20,-47.84457394857443,-15.669158236410093
21,-47.79611600332483,-15.648970060667892
22,-47.8505962095201,-15.634664998141899
23,-47.82070493638716,-15.642682296413565
24,-47.77477558223181,-15.750384721752331
25,-47.82580088051175,-15.673931750152182
26,-47.798195654015515,-15.650911926960287
27,-47.83737469157256,-15.636731586167473
28,-47.7920120486303,-15.759069949958716
29,-47.8244352175725,-15.731617851631885
30,-47.81430395622538,-15.759772660572406
31,-47.84145415182133,-15.64010142846338
32,-47.834827576482745,-15.679886610950787
33,-47.642006420849036,-15.618153350750555
34,-47.83852945265325,-15.64836358659348
35,-47.77472941392451,-15.76816634079596
36,-47.651635915164846,-15.638963355996706
37,-47.797868532088025,-15.649294379837013
38,-47.65524096570677,-15.632245520790645
39,-47.86696887712673,-15.655072851733502
40,-47.748676352735814,-15.663301537383072
41,-47.80292787354729,-15.649513582151268
42,-47.64641413664371,-15.623498220893545
43,-47.80976985534498,-15.64638198714727
44,-47.768572215247815,-15.646168229929538
45,-47.83668362348712,-15.682618298289439
46,-47.849368264906744,-15.63391337702447
47,-47.64970850017958,-15.617063203905179
48,-47.82870717411322,-15.631178922650776
49,-47.6472875571397,-15.629366250465068
50,-47.840909664884606,-15.634084845104693
51,-47.65452790812814,-15.60217674501614
52,-47.7775505789028,-15.765140985560256
53,-47.828791301157366,-15.644224564003153
54,-47.81740673789022,-15.670747852273132
55,-47.79378841155856,-15.655165605888472
56,-47.818281042769726,-15.690203933861612
57,-47.82868680519782,-15.630188139756351
58,-47.857563447810946,-15.653116383968458
59,-47.65157552579858,-15.616220352396798
60,-47.80022538211726,-15.66393493732475
61,-47.8306716988427,-15.64373314397093
62,-47.83691572519623,-15.632216334789177
63,-47.65187686323322,-15.680961546645097
64,-47.84350402611993,-15.63537165660986
65,-47.7772368224331,-15.63975198146872
66,-47.770662915351885,-15.74752387360224
67,-47.81512014394034,-15.768392318081835
68,-47.76409621839015,-15.645847753700343
69,-47.82259848527641,-15.640908907467733
70,-47.835395905700146,-15.728522753874381
71,-47.80296044592711,-15.660831759230517
72,-47.653106394550036,-15.602144140887646
73,-47.6428477323895,-15.610867504690075
74,-47.77774409621991,-15.769254709035398
75,-47.80439954414637,-15.65790635973804
76,-47.84038976155974,-15.662137036536391
77,-47.84279856037733,-15.648469541685726
78,-47.83784182154608,-15.62352234107712
79,-47.82938356289446,-15.643503403380455
80,-47.66269416427981,-15.628414273804946
81,-47.65892412417496,-15.602451973601346
82,-47.81615460636081,-15.751317747507876
83,-47.652975658588744,-15.632427857513724
84,-47.6500672564474,-15.63873004406471
85,-47.8072615703343,-15.641922074659472
86,-47.65241587670787,-15.613657757177165
87,-47.84996746109248,-15.67036294579691
88,-47.66075818037282,-15.630852423684498
89,-47.84237282685863,-15.63265402267589
90,-47.761944911151915,-15.751895630014902
91,-47.801737990507085,-15.66112702870836
92,-47.84817948404274,-15.668667647974091
93,-47.83260728439724,-15.689762784611961
94,-47.84397723091891,-15.645030788873097
95,-47.86800549736626,-15.657055876249276
96,-47.66747428918448,-15.610111164649176
97,-47.82089263487902,-15.666569094743325
98,-47.85105031706188,-15.671166202647617
99,-47.646506190343985,-15.616526413371593
100,-47.79194664939218,-15.652153629728922
101,-47.831551401481065,-15.686526126545818
102,-47.78846925286869,-15.655134083582084
103,-47.655679482945814,-15.681123707138907
104,-47.67233252047771,-15.612700564439976
105,-47.77795523607754,-15.760462100734236
106,-47.846626691765366,-15.671149276160932
107,-47.64643307966889,-15.619909510551722
108,-47.63011843313043,-15.619288194259282
109,-47.831565893907225,-15.650587216394657
110,-47.817064664680174,-15.643965813918118
111,-47.77608885489138,-15.647297105037389
112,-47.84693751883877,-15.63857647611088
113,-47.80228536909619,-15.66030917630944
114,-47.789539532050206,-15.652135882999936
115,-47.789899178908776,-15.657058344312533
116,-47.84308803204694,-15.635449180374861
117,-47.82544930012916,-15.63005030321251
118,-47.860424415992036,-15.653666879506305
119,-47.826009601470055,-15.627336082876251
120,-47.83825098902186,-15.626356691144299
121,-47.64429244753853,-15.601671772295056
122,-47.838408779825855,-15.631498288517083
123,-47.83595585187503,-15.633607351668868
124,-47.827953152145135,-15.687188117127546
125,-47.81011452456528,-15.654954489636795
126,-47.64592592877926,-15.641090761033647
127,-47.6518024612448,-15.605261357335344
128,-47.65490368732224,-15.722422688803356
129,-47.65390229727456,-15.604574363699777
130,-47.64220221173231,-15.618308165983589
131,-47.8007635739524,-15.64002588503391
132,-47.803866337303,-15.652515484824633
133,-47.66000784066871,-15.613901965818563
134,-47.85129662172348,-15.670994602365266
135,-47.83294335815458,-15.68126341744918
136,-47.66176217316137,-15.618961537859112
137,-47.79742569120007,-15.653520278263171
138,-47.83343548046986,-15.657565092948653
139,-47.85027800473955,-15.621351437354681
140,-47.85568349821997,-15.633376143862103
141,-47.853576309614326,-15.669524051404377
142,-47.63017579735563,-15.610432150729833
143,-47.804479345274316,-15.638330021849212
144,-47.83894845001188,-15.66856569050804
145,-47.78150952971046,-15.77015869085591
146,-47.81802497910538,-15.650605520131043
147,-47.801611766461775,-15.651235914682902
148,-47.85954917704171,-15.652163973833407
149,-47.8642883168262,-15.654054460027044
150,-47.80785717301113,-15.647497830036734
151,-47.8309185270337,-15.684242393391807
152,-47.850064313740006,-15.671406499183751
153,-47.77468736735142,-15.755273633310772
154,-47.8383295229166,-15.668640538278787
155,-47.81649583363511,-15.65400882564076
156,-47.763805459281755,-15.744756150542708
157,-47.37627631038819,-16.00339087306965
158,-47.804672081588826,-15.658844853136102
159,-47.818229540802804,-15.668203607961429
160,-47.83521506074681,-15.6879581107549
161,-47.84228672870977,-15.674998726812433
162,-47.65232751374168,-15.61364661639452
163,-47.64375727339783,-15.613638942804808
164,-47.66295484325094,-15.611858611101969
165,-47.83365578785146,-15.680868397778077
166,-47.86021732653833,-15.656397175895123
167,-47.75891421887403,-15.647931933605367
168,-47.81988527292087,-15.667635543057616
169,-47.81182217500374,-15.73887566978967
170,-47.68772007808227,-15.636859095481976
171,-47.82735302411383,-15.689577626723814
172,-47.644164479509385,-15.618042928463842
173,-47.6480110552981,-15.618330988425114
174,-47.82702977586377,-15.674417691888078
175,-47.689326721699466,-15.615755152653763
176,-47.80904495701391,-15.649765729564685
177,-47.810096472413505,-15.663526151652745
178,-47.84124113157267,-15.68147835571631
179,-47.651716505942396,-15.681614911427122
180,-47.83436977450208,-15.629687426572124
181,-47.75507292679927,-15.650057958464117
182,-47.862210441728976,-15.658451111318449
183,-47.778811807551016,-15.749369530952396
184,-47.871536748586806,-15.609807522550781
185,-47.645406061451226,-15.644639866980768
186,-47.69371716886742,-15.612191954038122
187,-47.66389650993196,-15.622038894988883
188,-47.62630532748219,-15.639497195467754
189,-47.65503666349757,-15.605185800285208
190,-47.86691283320976,-15.609071081655188
191,-47.85728821948073,-15.660630284520053
192,-47.84597961813925,-15.703599072201776
193,-47.79266261601751,-15.65651673617857
194,-47.85640874101504,-15.670560564586292
195,-47.64827386850933,-15.638526208670351
196,-47.81618823988159,-15.64270365755697
197,-47.74635961713778,-15.580469953656756
198,-47.83503216235182,-15.681961973354852
199,-47.64446470468635,-15.618682731105794
200,-47.65787229214103,-15.61686439120999
201,-47.84767466582784,-15.576977247113375
202,-47.76101744727939,-15.649029450913062
203,-47.79376952194732,-15.649592035671079
204,-47.645377414173964,-15.61942294635294
205,-47.65768965377084,-15.614729036948875
206,-47.77308590694904,-15.751861584671545
207,-47.833540458658504,-15.641563446106531
208,-47.85405140137586,-15.671131731218257
209,-47.527907589999316,-16.026382493444114
210,-47.86066713583695,-15.653630095954757
211,-47.632821000355364,-15.613037481063543
212,-47.83579940871508,-15.633196972332291
213,-47.8593127460595,-15.686835891315635
214,-47.679559845502226,-15.60057714055249
215,-47.775041072967575,-15.754295130139338
216,-47.84780211727452,-15.63411038563308
217,-47.79754579194449,-15.752728464073721
218,-47.798086041627094,-15.643299042316407
219,-47.67443895236798,-15.59992194186419
220,-47.658782589894464,-15.623721108507898
221,-47.84709654117242,-15.674605843786281
222,-47.68978505711002,-15.612740470146457
223,-47.659379602122996,-15.618244107074853
224,-47.82582129694859,-15.654288358813373
225,-47.648538282593464,-15.640544359560435
226,-47.76243010354661,-15.742926565760127
227,-47.82868559561658,-15.631286689585465
228,-47.7965080468218,-15.656495500238874
229,-47.80443905672617,-15.66298627365776
230,-47.876855682552495,-15.654384139745888
231,-47.64374136908621,-15.612449043610555
232,-47.77224190733472,-15.74849805220097
233,-47.7633910380185,-15.650966038959867
