id,longitude,latitude
0,-43.31185223815105,-23.01116676556287
1,-42.97152883278457,-22.79260902001016
2,-43.226461196672886,-22.98357068366591
3,-43.26699270326477,-22.927545551199234
4,-43.20793614849643,-22.985475981330076
5,-43.320864254042434,-22.83843409867454
6,-43.192153873752176,-22.936985942381998
7,-43.55467903796264,-22.870548782290708
8,-43.02929481201936,-22.883852166918057
9,-43.415488020620636,-22.876748824077946
10,-43.57864750810971,-22.910466473245478
11,-43.188459260592055,-22.965876541147587
12,-43.458338070321254,-22.737675241734888
13,-43.21161152026887,-22.858538859264492
14,-43.2029765755846,-22.98014286719908
15,-43.330731289943266,-22.958407081976464
16,-43.433731300361536,-22.79088928988601
17,-43.37741874678383,-22.913479177493052
18,-43.47903978835611,-22.730689593619452
19,-43.18677163267882,-22.968187606983218
20,-43.34551744725986,-22.884393973583414
21,-43.2405796298902,-22.859916067195098
22,-43.564775594664475,-22.88023899745429
23,-43.32715880891254,-22.82378250628732
24,-43.18773983334267,-22.922876166746175
25,-43.30689542163726,-22.76516014498872
26,-43.259101244814374,-22.924814623887475
27,-43.559145936435804,-22.935861084791366
28,-43.40642340871377,-22.791339099517376
29,-43.338518898395876,-22.97862610832777
30,-43.36522413998405,-22.93529600011492
31,-43.16804812956512,-22.963498787626907
32,-43.17791148962425,-22.96507545154765
33,-43.07830032812576,-22.914261859352607
34,-43.187243614943114,-22.92173923255644
35,-43.455645620278894,-22.75974471681134
36,-43.19139903947445,-22.978870335335557
37,-43.29435605672197,-22.83113421188433
38,-43.263490100881036,-22.673863332988848
39,-43.399677200812306,-22.75210680752524
40,-43.08516138621051,-22.88052532797817
41,-42.85969582591732,-22.750298161214467
42,-43.48276380861549,-22.956598363352338
43,-43.22380498474751,-22.92215276344212
44,-43.4305680352667,-22.817175215781027
45,-43.115663715494,-22.90300111557276
46,-43.004800881718715,-22.852759676910992
47,-43.56251602348688,-22.69911464398491
48,-43.192611855277214,-22.98386442078815
49,-43.38153992313781,-23.005476420987822
50,-43.29631700142725,-22.77578942375438
51,-43.40395650497715,-22.912426350833396
52,-43.410344467992495,-22.87554256296232
53,-43.09166485648898,-22.948789158143533
54,-43.082427794388806,-22.874416984180325
55,-43.416884893019315,-22.786807857553026
56,-43.50540456647061,-22.767795362096457
57,-43.21616733494699,-22.919916364298295
58,-43.24077487368993,-22.928553857813558
59,-43.1143156532307,-22.905650506231837
60,-43.03350645165246,-22.81721280508538
61,-43.4661168382279,-23.0148865670202
62,-43.244393985837405,-22.91438680454022
